data,tor,dystans,kat.,jeździec,waga,trener,mc,wygrana
 13.05.2018,Warszawa,2000 m,B, dż. T. Lukašek,61,W. Olkowski,1 / 7,20 000 zł
 24.09.2017,Warszawa,2600 m,G1 A, dż. T. Lukašek,55,W. Olkowski,1 / 5,126 000 zł
 27.08.2017,Warszawa,2800 m,L A, dż. T. Lukašek,54½,W. Olkowski,1 / 5,54 000 zł
 02.07.2017,Warszawa,2400 m,G1, dż. T. Lukašek,59,W. Olkowski,1 / 17,100 000 zł
 11.06.2017,Warszawa,2200 m,L A, dż. T. Lukašek,59,W. Olkowski,2 / 8,13 200 zł
 21.05.2017,Warszawa,1600 m,L A, dż. T. Lukašek,59,W. Olkowski,1 / 9,40 000 zł
 30.10.2016,Warszawa,1600 m,L A, dż. M. Srnec,57,W. Olkowski,1 / 5,33 000 zł
 02.10.2016,Warszawa,1400 m,L A, dż. S. Mazur,57,W. Olkowski,2 / 5,13 200 zł
 11.09.2016,Warszawa,1300 m,L A, dż. P. Krowicki,57,W. Olkowski,3 / 5,6 000 zł
 23.07.2016,Warszawa,1200 m,B, dż. T. Lukašek,56,W. Olkowski,1 / 5,21 000 zł
 03.07.2016,Warszawa,1000 m,II, dż. P. Krowicki,56,W. Olkowski,1 / 7,9 000 zł
 19.07.2020,Warszawa,2600 m,L A, dż. S. Mura,60,W. Szymczuk,11 / 13,0 zł
 01.07.2020,Wrocław,1907 m,III, k. dż. K. Kamińska,59,W. Szymczuk,1 / 11,7 000 zł
 07.06.2020,Warszawa,2000 m,III, k. dż. K. Kamińska,59,W. Szymczuk,2 / 9,3 000 zł
 13.05.2018,Warszawa,2000 m,B, k. dż. K. Grzybowski,61,A. Wyrzyk,5 / 7,1 000 zł
 24.09.2017,Warszawa,2600 m,G1 A, dż. M. Abik ,55,A. Wyrzyk,4 / 5,12 600 zł
 30.07.2017,Warszawa,2000 m,L A, dż. M. Abik ,54,A. Wyrzyk,1 / 3,33 000 zł
 02.07.2017,Warszawa,2400 m,G1, dż. M. Abik ,59,A. Wyrzyk,2 / 17,40 000 zł
 11.06.2017,Warszawa,2200 m,L A, dż. M. Abik ,59,A. Wyrzyk,1 / 8,33 000 zł
 21.05.2017,Warszawa,1600 m,L A, dż. M. Abik ,59,A. Wyrzyk,4 / 9,4 000 zł
 30.04.2017,Warszawa,1600 m,B, dż. M. Abik ,55,A. Wyrzyk,1 / 6,23 000 zł
 30.10.2016,Warszawa,1600 m,L A, dż. M. Abik ,57,A. Wyrzyk,3 / 5,6 600 zł
 02.10.2016,Warszawa,1300 m,II, dż. M. Abik ,57,A. Wyrzyk,1 / 8,9 000 zł
 31.07.2016,Warszawa,1600 m,, k. dż. M. Abik ,56,A. Wyrzyk,2 / 6,8 000 zł
 08.09.2019,Wrocław,5000 m,steeple, pr. dż. L. Sloup ,69,R. Bodlak,4 / 6,10 000 zł
 02.06.2019,Wrocław,5500 m,steeple, pr. dż. S. Ferhanov,69,R. Bodlak,2 / 8,32 000 zł
 05.08.2018,Wrocław,4200 m,steeple, pr. dż. S. Ferhanov,72,R. Bodlak,8 / 10,0 zł
 10.06.2018,Wrocław,5500 m,steeple, dż. N. Lovén,69,R. Bodlak,0 / 11,0 zł
 10.09.2017,Wrocław,5000 m,steeple, dż. N. Lovén,69,R. Bodlak,1 / 8,100 000 zł
 11.06.2017,Wrocław,5500 m,steeple, dż. N. Lovén,69,R. Bodlak,2 / 11,32 000 zł
 04.09.2016,Wrocław,5000 m,steeple, dż. N. Lovén,67,R. Bodlak,2 / 10,40 000 zł
 07.08.2016,Wrocław,4200 m,steeple, dż. N. Lovén,67,R. Bodlak,1 / 8,9 000 zł
 19.06.2016,Wrocław,5500 m,steeple, dż. N. Lovén,67,R. Bodlak,2 / 8,32 000 zł
 22.05.2016,Wrocław,4200 m,steeple, pr. dż. J. Spáčil ,67,R. Bodlak,7 / 13,0 zł
 06.09.2015,Wrocław,5000 m,steeple, k. dż. L. Matusky,64,R. Bodlak,1 / 12,100 000 zł
 09.08.2015,Wrocław,4200 m,steeple, k. dż. L. Matusky,65,R. Bodlak,1 / 4,9 000 zł
 28.06.2015,Wrocław,4000 m,steeple, k. dż. L. Matusky,64,R. Bodlak,1 / 7,9 000 zł
 07.06.2015,Wrocław,4000 m,steeple, dż. L. Matusky,64½,R. Bodlak,2 / 11,3 750 zł
 16.06.2022,Wrocław,3400 m,steeple, dż. M. Novák ,71,H. Kabelková,1 / 9,10 000 zł
 16.10.2021,Wrocław,5500 m,steeple, k. dż. P. Složil mł.,69,H. Kabelková,3 / 9,20 000 zł
 18.10.2020,Wrocław,5500 m,steeple, pr. dż. P. Složil mł.,69,H. Kabelková,4 / 12,16 000 zł
 13.09.2020,Wrocław,5000 m,steeple, pr. dż. P. Složil mł.,69,H. Kabelková,2 / 10,40 000 zł
 12.08.2020,Wrocław,4300 m,steeple, pr. dż. P. Složil mł.,70,H. Kabelková,2 / 14,4 000 zł
 08.09.2019,Wrocław,5000 m,steeple, pr. dż. P. Složil mł.,69,H. Kabelková,1 / 6,100 000 zł
 11.08.2019,Wrocław,4200 m,steeple, dż. M. Novák ,68,H. Kabelková,3 / 7,3 000 zł
 02.09.2018,Wrocław,5000 m,steeple, dż. N. Lovén,69,M. Borkowski,3 / 8,20 000 zł
 05.08.2018,Wrocław,4200 m,steeple, dż. N. Lovén,66,M. Borkowski,5 / 10,500 zł
 01.07.2018,Warszawa,2600 m,L A, dż. N. Hendzel,60,M. Borkowski,8 / 9,0 zł
 10.06.2018,Wrocław,5500 m,steeple, dż. J. Myška,69,M. Borkowski,6 / 11,8 000 zł
 13.05.2018,Wrocław,4200 m,steeple, st. u. P. Pałczyński,70,M. Borkowski,0 / 7,0 zł
 28.10.2017,Warszawa,3200 m,B, dż. N. Hendzel,57,M. Borkowski,1 / 11,23 000 zł
 10.09.2017,Wrocław,5000 m,steeple, dż. J. Myška,68,M. Borkowski,5 / 8,5 000 zł
 13.08.2017,Wrocław,4200 m,steeple, dż. N. Lovén,69,M. Borkowski,1 / 8,10 000 zł
 11.06.2017,Wrocław,5500 m,steeple, dż. J. Myška,67,M. Borkowski,1 / 11,80 000 zł
 21.05.2017,Wrocław,4200 m,steeple, dż. J. Myška,67,M. Borkowski,3 / 9,3 000 zł
 30.04.2017,Wrocław,3800 m,steeple, dż. J. Myška,66,M. Borkowski,2 / 9,3 600 zł
 22.05.2016,Wrocław,3600 m,steeple, pr. dż. J. Spáčil ,63,Č. Olehla,3 / 11,3 000 zł
 15.10.2017,Wrocław,2400 m,L A, dż. A. Reznikov,59,A. Zielińska,3 / 8,12 000 zł
 24.09.2017,Kolonia,1850 m,, F. Minarik,55,A. Zielińska,0 / 14,0 zł*
 24.09.2017,Kolonia,1850 m,, F. Minarik,55,A. Zielińska,7 / 14,0 zł*
 30.07.2017,Warszawa,2400 m,L A, dż. A. Reznikov,59,A. Zielińska,1 / 11,69 000 zł
 02.07.2017,Warszawa,2000 m,I, pr. dż. I. Wójcik,57,A. Zielińska,1 / 11,10 600 zł
 11.06.2017,Warszawa,2000 m,II, pr. dż. I. Wójcik,55,A. Zielińska,1 / 10,9 000 zł
 21.05.2017,Warszawa,1600 m,III, pr. dż. I. Wójcik,59,A. Zielińska,1 / 8,7 000 zł
 29.04.2017,Warszawa,1600 m,III, pr. dż. I. Wójcik,55,A. Zielińska,1 / 8,7 000 zł
 02.10.2021,Warszawa,1400 m,I, dż. S. Mura,60,K. Ziemiański,4 / 9,1 060 zł
 28.08.2021,Warszawa,1600 m,B, dż. M. Srnec,56,K. Ziemiański,4 / 9,2 000 zł
 15.08.2021,Warszawa,1300 m,B, dż. S. Vasyutov,56½,K. Ziemiański,8 / 9,0 zł
 04.07.2021,Warszawa,1600 m,L A, dż. S. Vasyutov,60,K. Ziemiański,9 / 11,0 zł
 05.06.2021,Warszawa,1400 m,B, dż. M. Srnec,60,K. Ziemiański,7 / 9,0 zł
 15.05.2021,Warszawa,1300 m,B, dż. M. Srnec,60,K. Ziemiański,3 / 9,4 000 zł
 19.07.2020,Warszawa,1600 m,L A, k. dż. B. Giedyk,60,K. Ziemiański,10 / 10,0 zł
 20.06.2020,Warszawa,1400 m,B, k. dż. B. Giedyk,63,K. Ziemiański,4 / 9,2 000 zł
 30.05.2020,Warszawa,1300 m,B, k. dż. B. Giedyk,60,K. Ziemiański,1 / 7,20 000 zł
 26.10.2019,Warszawa,1300 m,L A, k. dż. J. Wyrzyk,62,A. Wyrzyk,3 / 12,6 000 zł
 29.09.2019,Warszawa,1600 m,L A, dż. M. Abik ,60,A. Wyrzyk,6 / 11,0 zł
 07.09.2019,Warszawa,1600 m,B, dż. M. Abik ,60,A. Wyrzyk,1 / 6,20 000 zł
 18.08.2019,Warszawa,1300 m,B, dż. M. Abik ,60,A. Wyrzyk,2 / 7,8 000 zł
 28.07.2019,Warszawa,1400 m,L A, dż. M. Abik ,60,A. Wyrzyk,4 / 9,3 000 zł
 07.07.2019,Warszawa,1600 m,L A, dż. M. Abik ,60,A. Wyrzyk,4 / 9,3 000 zł
 09.06.2019,Warszawa,1400 m,B, dż. M. Abik ,63,A. Wyrzyk,10 / 13,0 zł
 19.05.2019,Warszawa,2000 m,B, dż. M. Abik ,61,A. Wyrzyk,8 / 8,0 zł
 28.10.2018,Warszawa,1300 m,L A, dż. M. Abik ,61,A. Wyrzyk,1 / 7,30 000 zł
 30.09.2018,Warszawa,1600 m,L A, dż. M. Abik ,57,A. Wyrzyk,1 / 8,30 000 zł
 02.09.2018,Warszawa,2000 m,L A, dż. M. Abik ,56,A. Wyrzyk,2 / 9,24 000 zł
 05.08.2018,Warszawa,1800 m,B, dż. M. Abik ,58,A. Wyrzyk,1 / 6,20 000 zł
 01.07.2018,Warszawa,2400 m,G1 A, dż. T. Lukašek,59,A. Wyrzyk,4 / 18,10 000 zł
 10.06.2018,Warszawa,2200 m,L A, dż. T. Lukašek,59,A. Wyrzyk,5 / 7,1 650 zł
 20.05.2018,Warszawa,1600 m,L A, dż. T. Lukašek,59,A. Wyrzyk,2 / 7,16 000 zł
 29.04.2018,Warszawa,1600 m,B, pr. dż. J. Wyrzyk,59,A. Wyrzyk,2 / 5,9 200 zł
 22.10.2017,Warszawa,1600 m,L A, dż. M. Abik ,57,A. Wyrzyk,1 / 5,33 000 zł
 24.09.2017,Warszawa,1400 m,L A, dż. M. Abik ,57,A. Wyrzyk,1 / 6,33 000 zł
 03.09.2017,Warszawa,1300 m,L A, dż. M. Abik ,57,A. Wyrzyk,1 / 5,30 000 zł
 13.08.2017,Warszawa,1000 m,II, dż. M. Abik ,57,A. Wyrzyk,1 / 9,9 000 zł
 06.08.2022,Warszawa,2200 m,III, st. u. A. Gil,49,T. Pastuszka,7 / 7,0 zł
 23.07.2022,Warszawa,3800 m,płoty, pr. dż. U. Kozhomkulov,69,T. Pastuszka,4 / 5,1 200 zł
 09.07.2022,Sopot,1600 m,III, dż. K. Mazur ,57,T. Pastuszka,5 / 7,400 zł
 25.06.2022,Warszawa,2000 m,III, dż. S. Mura,60,T. Pastuszka,8 / 8,0 zł
 12.06.2022,Warszawa,1400 m,III, dż. A. Kabardov,60,T. Pastuszka,9 / 12,0 zł
 07.10.2020,Wrocław,2400 m,IV, dż. A. Kabardov,61,W. Szymczuk,6 / 8,0 zł
 20.09.2020,Warszawa,1600 m,IV, dż. S. Mura,62,W. Szymczuk,4 / 9,650 zł
 05.09.2020,Warszawa,1300 m,III, k. dż. K. Kamińska,59,W. Szymczuk,5 / 11,375 zł
 08.08.2020,Warszawa,1400 m,IV, k. dż. K. Kamińska,59,W. Szymczuk,1 / 13,6 500 zł
 19.07.2020,Warszawa,2000 m,II, pr. dż. A. Kardanov,55,W. Szymczuk,3 / 12,1 800 zł
 05.07.2020,Warszawa,1800 m,III, k. dż. S. Altynbekov,59,W. Szymczuk,1 / 6,7 500 zł
 13.06.2020,Warszawa,2000 m,II, k. dż. K. Kamińska,56,W. Szymczuk,6 / 7,0 zł
 30.05.2020,Warszawa,1600 m,III, st. u. A. Gil,60,W. Szymczuk,3 / 10,1 500 zł
 06.10.2019,Warszawa,1800 m,II, dż. A. Kabardov,62,M. Borkowski,2 / 5,3 000 zł
 22.09.2019,Warszawa,2000 m,II, dż. A. Kabardov,61,M. Borkowski,2 / 6,3 000 zł
 25.08.2019,Warszawa,2000 m,III, dż. K. Grzybowski,61,M. Borkowski,2 / 7,3 000 zł
 28.07.2019,Warszawa,1800 m,III, dż. A. Kabardov,62,M. Borkowski,2 / 6,3 000 zł
 07.07.2019,Warszawa,2000 m,II, dż. A. Kabardov,60,M. Borkowski,D / 9,0 zł
 08.06.2019,Warszawa,2400 m,B, pr. dż. S. Abaev,57,M. Borkowski,6 / 8,0 zł
 12.05.2019,Wrocław,3200 m,II, dż. N. Hendzel,62,M. Borkowski,4 / 10,1 600 zł
 30.09.2018,Warszawa,2600 m,G1 A, k. dż. J. Wyrzyk,60,A. Wyrzyk,6 / 7,0 zł
 02.09.2018,Warszawa,2000 m,L A, k. dż. J. Wyrzyk,60,A. Wyrzyk,5 / 9,3 000 zł
 29.07.2018,Warszawa,2000 m,L A, dż. M. Abik ,60,A. Wyrzyk,2 / 6,13 200 zł
 01.07.2018,Warszawa,2600 m,L A, dż. M. Abik ,60,A. Wyrzyk,3 / 9,10 800 zł
 10.06.2018,Warszawa,2400 m,B, dż. T. Lukašek,61,A. Wyrzyk,2 / 5,8 000 zł
 13.05.2018,Warszawa,2000 m,B, pr. dż. J. Wyrzyk,61,A. Wyrzyk,4 / 7,2 000 zł
 22.04.2018,Warszawa,1800 m,I, pr. dż. J. Wyrzyk,65½,A. Wyrzyk,1 / 7,10 600 zł
 28.10.2017,Warszawa,3200 m,B, dż. M. Abik ,56,A. Wyrzyk,5 / 11,1 150 zł
 24.09.2017,Warszawa,2600 m,G1 A, k. dż. K. Grzybowski,55,A. Wyrzyk,2 / 5,50 400 zł
 27.08.2017,Warszawa,2800 m,L A, dż. M. Abik ,54,A. Wyrzyk,2 / 5,21 600 zł
 06.08.2017,Warszawa,1800 m,B, dż. M. Abik ,52½,A. Wyrzyk,4 / 12,2 100 zł
 02.07.2017,Warszawa,2400 m,G1, k. dż. K. Grzybowski,59,A. Wyrzyk,4 / 17,10 000 zł
 11.06.2017,Warszawa,2200 m,L A, dż. E. Zahariev,59,E. Zahariev,8 / 8,0 zł
 21.05.2017,Warszawa,1600 m,L A, dż. E. Zahariev,59,E. Zahariev,9 / 9,0 zł
 30.04.2017,Warszawa,1600 m,B, dż. E. Zahariev,59,E. Zahariev,3 / 6,4 600 zł
 20.11.2016,Warszawa,1400 m,B, dż. E. Zahariev,58,E. Zahariev,1 / 5,21 000 zł
 22.10.2016,Warszawa,1400 m,I, dż. M. Srnec,58,E. Zahariev,2 / 6,4 240 zł
 17.09.2016,Warszawa,1200 m,II, dż. M. Abik ,57,E. Zahariev,1 / 8,9 000 zł
 20.08.2016,Warszawa,1600 m,, dż. M. Srnec,57,E. Zahariev,3 / 6,4 000 zł
 15.10.2017,Warszawa,1300 m,L A, dż. S. Mazur,60,W. Olkowski,1 / 6,30 000 zł
 24.09.2017,Warszawa,1600 m,L A, dż. T. Lukašek,55,W. Olkowski,1 / 11,30 000 zł
 26.08.2017,Warszawa,2200 m,L A, dż. T. Lukašek,55,W. Olkowski,2 / 7,12 000 zł
 30.07.2017,Warszawa,2400 m,L A, dż. T. Lukašek,59,W. Olkowski,6 / 11,0 zł
 20.05.2017,Warszawa,1600 m,L A, dż. T. Lukašek,59,W. Olkowski,2 / 6,14 000 zł
 30.10.2016,Warszawa,1400 m,L A, dż. T. Lukašek,57,W. Olkowski,1 / 7,30 000 zł
 02.10.2016,Warszawa,1200 m,B, dż. S. Mazur,57,W. Olkowski,1 / 5,21 000 zł
 20.08.2016,Warszawa,1300 m,B, dż. T. Lukašek,56,W. Olkowski,2 / 5,8 400 zł
 23.07.2016,Warszawa,1200 m,, dż. T. Lukašek,55,W. Olkowski,1 / 8,20 000 zł
 15.10.2017,Wrocław,2400 m,L A, dż. M. Abik ,57,A. Wyrzyk,8 / 8,0 zł
 26.08.2017,Warszawa,2200 m,L A, dż. M. Abik ,55,A. Wyrzyk,1 / 7,30 000 zł
 30.07.2017,Warszawa,2400 m,L A, dż. M. Abik ,59,A. Wyrzyk,7 / 11,0 zł
 02.07.2017,Warszawa,2400 m,G1, pr. dż. J. Wyrzyk,57,A. Wyrzyk,5 / 17,5 000 zł
 10.06.2017,Warszawa,2200 m,B, dż. M. Abik ,59,A. Wyrzyk,3 / 8,4 600 zł
 20.05.2017,Warszawa,1600 m,L A, dż. M. Abik ,59,A. Wyrzyk,1 / 6,35 000 zł
 30.04.2017,Warszawa,1600 m,II, dż. M. Abik ,61,A. Wyrzyk,1 / 7,9 000 zł
 30.10.2016,Warszawa,1400 m,L A, dż. M. Abik ,57,A. Wyrzyk,2 / 7,12 000 zł
 02.10.2016,Warszawa,1200 m,B, dż. M. Abik ,57,A. Wyrzyk,2 / 5,8 400 zł
 03.09.2016,Warszawa,1200 m,I, k. dż. M. Abik ,56,A. Wyrzyk,1 / 7,10 600 zł
 30.07.2016,Warszawa,1300 m,II, k. dż. M. Abik ,55,A. Wyrzyk,1 / 7,9 000 zł
 03.07.2016,Warszawa,1000 m,II, k. dż. M. Abik ,55,A. Wyrzyk,5 / 7,450 zł
 02.07.2017,Warszawa,2600 m,L A, dż. T. Lukašek,60,A. Wyrzyk,1 / 7,54 000 zł
 11.06.2017,Warszawa,2400 m,B, dż. T. Lukašek,61,A. Wyrzyk,1 / 6,21 000 zł
 14.05.2017,Hoppegarten,3200 m,, dż. T. Lukášek,58,A. Wyrzyk,8 / 16,0 zł*
 16.04.2017,Hoppegarten,2800 m,, dż. T. Lukášek,57,A. Wyrzyk,2 / 10,28 667 zł*
 02.10.2016,Warszawa,2600 m,G1 A, dż. T. Lukašek,56,A. Wyrzyk,1 / 6,126 000 zł
 14.08.2016,Hoppegarten,2400 m,, dż. T. Lukášek,55,A. Wyrzyk,5 / 6,0 zł*
 03.07.2016,Warszawa,2400 m,A, dż. T. Lukašek,59,A. Wyrzyk,1 / 14,100 000 zł
 12.06.2016,Warszawa,2200 m,, dż. T. Lukašek,59,A. Wyrzyk,1 / 6,33 000 zł
 07.05.2016,Warszawa,2000 m,I, dż. T. Lukašek,59,A. Wyrzyk,1 / 7,10 600 zł
 14.11.2015,Warszawa,1300 m,I, dż. T. Lukašek,57,A. Wyrzyk,1 / 7,11 000 zł
 18.10.2015,Warszawa,1600 m,II, dż. T. Lukašek,57,A. Wyrzyk,1 / 7,9 000 zł
 05.09.2015,Warszawa,1400 m,II, dż. S. Mazur,57,A. Wyrzyk,2 / 8,3 600 zł
 21.10.2017,Warszawa,1400 m,L A, dż. A. Reznikov,57½,J. Kozłowski,1 / 6,30 000 zł
 24.09.2017,Warszawa,1200 m,B, dż. A. Reznikov,57,J. Kozłowski,1 / 5,21 000 zł
 26.08.2017,Warszawa,1200 m,I, dż. A. Reznikov,56½,J. Kozłowski,1 / 6,10 600 zł
 08.07.2017,Warszawa,1200 m,II, dż. A. Reznikov,55½,J. Kozłowski,1 / 6,9 000 zł
 19.11.2017,Warszawa,2400 m,I, dż. N. Hendzel,60,M. Borkowski,6 / 9,0 zł
 28.10.2017,Warszawa,3200 m,B, dż. M. Srnec,56,M. Borkowski,4 / 11,2 300 zł
 01.10.2017,Warszawa,2800 m,I, dż. M. Srnec,57,M. Borkowski,2 / 7,4 240 zł
 02.09.2017,Warszawa,2200 m,B, pr. dż. A. Kardanov,53,M. Borkowski,1 / 4,21 000 zł
 06.08.2017,Warszawa,1800 m,B, pr. dż. A. Kardanov,53,M. Borkowski,2 / 12,8 400 zł
 02.07.2017,Warszawa,2400 m,G1, pr. dż. A. Kardanov,59,M. Borkowski,3 / 17,20 000 zł
 11.06.2017,Warszawa,2200 m,L A, pr. dż. A. Kardanov,59,M. Borkowski,6 / 8,0 zł
 21.05.2017,Warszawa,1600 m,L A, pr. dż. A. Kardanov,59,M. Borkowski,5 / 9,2 000 zł
 23.04.2017,Warszawa,1600 m,I, pr. dż. A. Kardanov,54½,M. Borkowski,1 / 7,10 600 zł
 02.04.2017,Hoppegarten,1600 m,, dż. M. Cadeddu,59,M. Borkowski,6 / 6,0 zł*
 13.11.2016,Warszawa,1300 m,I, pr. dż. A. Kardanov,58,M. Borkowski,2 / 8,4 240 zł
 22.10.2016,Warszawa,1400 m,I, pr. dż. A. Kardanov,58,M. Borkowski,5 / 6,530 zł
 18.09.2016,Wrocław,1200 m,II, pr. dż. A. Kardanov,57,M. Borkowski,1 / 10,7 000 zł
 31.07.2016,Wrocław,1000 m,II, pr. dż. A. Kardanov,56,M. Borkowski,9 / 9,0 zł
 02.06.2019,Wrocław,3400 m,płoty, st. u. L. Sloup ,67,W. Olkowski,5 / 9,1 000 zł
 05.05.2019,Wrocław,3200 m,płoty, k. dż. R. Benš,67,W. Olkowski,7 / 7,0 zł
 13.05.2018,Warszawa,2000 m,B, dż. A. Turgaev,57,W. Olkowski,7 / 7,0 zł
 22.04.2018,Warszawa,1800 m,I, u. M. Wyrzyk,63,W. Olkowski,7 / 7,0 zł
 19.11.2017,Warszawa,2400 m,I, dż. A. Turgaev,61,W. Olkowski,3 / 9,2 120 zł
 28.10.2017,Warszawa,3200 m,B, dż. P. Krowicki,57,W. Olkowski,3 / 11,4 600 zł
 24.09.2017,Warszawa,2600 m,G1 A, dż. S. Mazur,60,W. Olkowski,3 / 5,25 200 zł
 27.08.2017,Warszawa,2800 m,L A, dż. S. Mazur,60,W. Olkowski,3 / 5,10 800 zł
 30.07.2017,Warszawa,2000 m,L A, dż. P. Krowicki,60,W. Olkowski,3 / 3,6 600 zł
 02.07.2017,Warszawa,2600 m,L A, dż. P. Krowicki,60,W. Olkowski,3 / 7,10 800 zł
 11.06.2017,Warszawa,2400 m,B, dż. P. Krowicki,60,W. Olkowski,3 / 6,4 200 zł
 14.05.2017,Warszawa,2000 m,B, dż. P. Krowicki,60,W. Olkowski,3 / 8,4 200 zł
 23.10.2016,Warszawa,3200 m,B, dż. P. Krowicki,57,W. Olkowski,1 / 7,23 000 zł
 25.09.2016,Warszawa,2800 m,I, dż. P. Krowicki,55,W. Olkowski,1 / 7,10 600 zł
 13.08.2016,Warszawa,2400 m,I, dż. P. Krowicki,59,W. Olkowski,1 / 6,10 600 zł
 23.07.2016,Warszawa,2000 m,I, dż. A. Kabardov,52,W. Olkowski,3 / 6,2 120 zł
 03.07.2016,Warszawa,2400 m,A, dż. P. Krowicki,59,W. Olkowski,7 / 14,0 zł
 28.05.2016,Warszawa,2200 m,I, dż. P. Krowicki,59,W. Olkowski,3 / 8,2 120 zł
 07.05.2016,Warszawa,2000 m,I, dż. P. Krowicki,59,W. Olkowski,2 / 7,4 240 zł
 08.11.2015,Warszawa,1400 m,B, dż. P. Krowicki,57,W. Olkowski,3 / 6,4 200 zł
 27.09.2015,Warszawa,1400 m,L A, dż. P. Krowicki,57,W. Olkowski,4 / 6,3 400 zł
 06.09.2015,Warszawa,1300 m,L A, dż. P. Krowicki,57,W. Olkowski,4 / 6,3 000 zł
 25.07.2015,Warszawa,1300 m,, dż. P. Krowicki,56,W. Olkowski,1 / 8,20 000 zł
 10.11.2019,Warszawa,2000 m,I, k. dż. B. Giedyk,59,M. Janikowski,1 / 14,10 600 zł
 20.10.2019,Warszawa,2200 m,II, dż. A. Reznikov,61,M. Janikowski,2 / 6,3 600 zł
 29.09.2019,Warszawa,1600 m,L A, dż. A. Reznikov,60,M. Janikowski,7 / 11,0 zł
 07.09.2019,Warszawa,1600 m,B, dż. A. Reznikov,58,M. Janikowski,6 / 6,0 zł
 11.08.2019,Warszawa,1800 m,B, dż. W. Szymczuk,56½,M. Janikowski,2 / 5,8 000 zł
 07.07.2019,Warszawa,1600 m,L A, dż. A. Reznikov,60,M. Janikowski,3 / 9,6 000 zł
 09.06.2019,Warszawa,1400 m,B, dż. A. Reznikov,56,M. Janikowski,1 / 13,20 000 zł
 18.05.2019,Warszawa,1300 m,B, dż. A. Reznikov,56,M. Janikowski,7 / 12,0 zł
 28.10.2018,Warszawa,1300 m,L A, dż. A. Reznikov,62,M. Janikowski,5 / 7,1 500 zł
 30.09.2018,Warszawa,1600 m,L A, dż. A. Reznikov,60,M. Janikowski,2 / 8,12 000 zł
 08.09.2018,Warszawa,1600 m,B, dż. A. Reznikov,60,M. Janikowski,4 / 11,2 000 zł
 28.07.2018,Warszawa,1400 m,L A, dż. M. Březina,60,M. Janikowski,4 / 6,3 000 zł
 01.07.2018,Warszawa,1600 m,L A, dż. S. Mazur,60,M. Janikowski,4 / 10,3 000 zł
 09.06.2018,Warszawa,1400 m,B, dż. S. Mazur,63,M. Janikowski,8 / 9,0 zł
 12.05.2018,Warszawa,1300 m,B, dż. S. Mazur,63,M. Janikowski,2 / 8,8 000 zł
 15.10.2017,Warszawa,1300 m,L A, dż. M. Březina,62,M. Janikowski,4 / 6,3 000 zł
 24.09.2017,Warszawa,1600 m,L A, dż. W. Szymczuk,60,M. Janikowski,6 / 11,0 zł
 19.08.2017,Warszawa,1300 m,B, dż. W. Szymczuk,60,M. Janikowski,1 / 6,21 000 zł
 29.07.2017,Warszawa,1400 m,L A, dż. W. Szymczuk,60,M. Janikowski,2 / 7,12 000 zł
 02.07.2017,Warszawa,1600 m,L A, dż. W. Szymczuk,60,M. Janikowski,1 / 9,30 000 zł
 10.06.2017,Warszawa,1400 m,B, dż. W. Szymczuk,63,M. Janikowski,7 / 9,0 zł
 23.10.2016,Warszawa,1300 m,L A, dż. W. Szymczuk,62,M. Janikowski,1 / 8,30 000 zł
 02.10.2016,Warszawa,1600 m,L A, dż. W. Szymczuk,60,M. Janikowski,6 / 7,0 zł
 10.09.2016,Warszawa,1600 m,B, dż. W. Szymczuk,60,M. Janikowski,1 / 10,21 000 zł
 23.07.2016,Warszawa,1400 m,A, dż. W. Szymczuk,60,M. Janikowski,5 / 7,1 500 zł
 03.07.2016,Warszawa,1600 m,L A, dż. W. Szymczuk,60,M. Janikowski,2 / 10,9 000 zł
 14.05.2016,Warszawa,1300 m,B, dż. W. Szymczuk,63,M. Janikowski,6 / 7,0 zł
 25.10.2015,Warszawa,1300 m,L A, dż. W. Szymczuk,61,M. Janikowski,3 / 8,6 400 zł
 27.09.2015,Warszawa,1600 m,L A, dż. W. Szymczuk,57,M. Janikowski,2 / 7,12 800 zł
 15.08.2015,Warszawa,1300 m,, dż. W. Szymczuk,57,M. Janikowski,3 / 5,4 200 zł
 26.07.2015,Warszawa,1400 m,L A, dż. W. Szymczuk,56,M. Janikowski,1 / 6,32 000 zł
 05.07.2015,Warszawa,1600 m,L A, dż. W. Szymczuk,55,M. Janikowski,1 / 9,32 000 zł
 17.05.2015,Warszawa,1600 m,L A, dż. W. Szymczuk,59,M. Janikowski,4 / 5,4 000 zł
 26.04.2015,Warszawa,1600 m,B, dż. W. Szymczuk,55,M. Janikowski,2 / 8,9 200 zł
 23.11.2014,Warszawa,1200 m,I, dż. W. Szymczuk,58,M. Janikowski,1 / 7,12 000 zł
 25.10.2014,Warszawa,1200 m,II, dż. W. Szymczuk,58,M. Janikowski,1 / 7,9 500 zł
 28.09.2014,Warszawa,1200 m,II, dż. W. Szymczuk,57,M. Janikowski,2 / 7,3 800 zł
 31.08.2014,Warszawa,1200 m,, dż. W. Szymczuk,57,M. Janikowski,4 / 9,1 800 zł
 15.10.2017,Warszawa,1300 m,L A, dż. W. Szymczuk,62,M. Kacprzyk,3 / 6,6 000 zł
 24.09.2017,Warszawa,1600 m,L A, dż. T. Huet,60,M. Kacprzyk,7 / 11,0 zł
