data,tor,dystans,kat.,jeździec,waga,trener,mc,wygrana
 17.09.2016,Warszawa,1200 m,II, pr. dż. A. Kardanov,56,J. Kozłowski,4 / 8,900 zł
 07.08.2016,Warszawa,1000 m,II, dż. A. Reznikov,56,J. Kozłowski,6 / 7,0 zł
 23.07.2016,Warszawa,1000 m,II, dż. A. Reznikov,56,J. Kozłowski,6 / 7,0 zł
 03.07.2016,Warszawa,1200 m,, dż. A. Reznikov,55,J. Kozłowski,5 / 7,1 000 zł
 05.08.2017,Warszawa,2000 m,III, pr. dż. A. Kardanov,58,M. Borkowski,6 / 7,0 zł
 01.07.2017,Warszawa,1600 m,II, dż. N. Hendzel,57,M. Borkowski,5 / 7,450 zł
 04.06.2017,Wrocław,1907 m,III, dż. N. Hendzel,60,M. Borkowski,1 / 8,6 100 zł
 21.05.2017,Wrocław,1907 m,III, dż. N. Hendzel,60,M. Borkowski,3 / 10,1 830 zł
 30.04.2017,Wrocław,1907 m,III, dż. N. Hendzel,60,M. Borkowski,2 / 9,2 440 zł
 30.10.2016,Warszawa,2000 m,IV, dż. M. Srnec,59,A. Walicki,3 / 7,1 200 zł
 08.10.2016,Warszawa,2400 m,IV, dż. P. Krowicki,58,A. Walicki,8 / 8,0 zł
 17.09.2016,Warszawa,2200 m,IV, k. dż. K. Grzybowski,61½,A. Walicki,6 / 11,0 zł
 28.08.2016,Warszawa,1800 m,III, dż. S. Mazur,59,A. Walicki,5 / 6,350 zł
 06.08.2016,Warszawa,1800 m,IV, dż. M. Srnec,56,A. Walicki,1 / 8,6 000 zł
 11.06.2016,Warszawa,1600 m,III, pr. dż. K. Grzybowski,58,A. Walicki,7 / 9,0 zł
 22.05.2016,Warszawa,1600 m,III, pr. dż. K. Grzybowski,57,A. Walicki,4 / 6,700 zł
 23.04.2016,Warszawa,1800 m,III, pr. dż. K. Grzybowski,59½,A. Walicki,2 / 9,2 800 zł
 31.10.2015,Warszawa,1000 m,II, dż. A. Turgaev,57,A. Walicki,5 / 10,450 zł
 19.09.2015,Warszawa,1000 m,II, dż. A. Turgaev,57,A. Walicki,2 / 6,3 600 zł
 01.08.2015,Warszawa,1300 m,II, dż. A. Turgaev,57,A. Walicki,3 / 6,1 800 zł
 04.07.2015,Warszawa,1000 m,, dż. A. Turgaev,56,A. Walicki,4 / 6,2 000 zł
 10.06.2018,Warszawa,2000 m,II, dż. T. Lukašek,59,W. Olkowski,0 / 10,0 zł
 20.05.2018,Warszawa,1600 m,L A, dż. A. Turgaev,59,W. Olkowski,6 / 7,0 zł
 29.04.2018,Warszawa,1400 m,II, dż. M. Srnec,59,W. Olkowski,3 / 6,1 800 zł
 11.11.2017,Warszawa,1200 m,II, dż. M. Srnec,57,W. Olkowski,1 / 8,9 000 zł
 14.10.2017,Warszawa,1000 m,II, k. dż. I. Wójcik,57,W. Olkowski,4 / 10,900 zł
 17.09.2017,Warszawa,1000 m,II, dż. T. Lukašek,57,W. Olkowski,4 / 14,900 zł
 17.11.2018,Warszawa,1300 m,IV, dż. K. Grzybowski,63,A. Walicki,8 / 12,0 zł
 03.11.2018,Warszawa,1200 m,IV, dż. A. Turgaev,62,A. Walicki,6 / 8,0 zł
 07.10.2018,Warszawa,1200 m,IV, dż. K. Grzybowski,61,A. Walicki,5 / 9,300 zł
 02.09.2018,Warszawa,1200 m,IV, k. dż. K. Grzybowski,61,A. Walicki,2 / 10,2 400 zł
 25.08.2018,Warszawa,1600 m,IV, dż. W. Szymczuk,61,A. Walicki,6 / 8,0 zł
 05.08.2018,Warszawa,1200 m,III, st. u. J. Grzybowska,55,A. Walicki,4 / 6,700 zł
 24.06.2018,Warszawa,1300 m,III, dż. W. Szymczuk,58,A. Walicki,1 / 7,7 000 zł
 26.05.2018,Warszawa,1800 m,III, pr. dż. K. Kamińska,55,A. Walicki,4 / 7,700 zł
 28.04.2018,Warszawa,1600 m,II, pr. dż. K. Kamińska,54,A. Walicki,4 / 7,900 zł
 30.09.2017,Warszawa,1200 m,II, k. dż. K. Grzybowski,57,A. Walicki,2 / 13,3 600 zł
 12.08.2017,Warszawa,1200 m,II, k. dż. K. Grzybowski,57,A. Walicki,2 / 8,3 600 zł
 02.07.2017,Warszawa,1200 m,, dż. W. Szymczuk,55,A. Walicki,3 / 7,3 600 zł
 20.10.2019,Warszawa,1800 m,IV, pr. dż. A. Kardanov,57½,E. Zahariev,5 / 13,325 zł
 29.09.2019,Warszawa,1800 m,IV, pr. dż. S. Abaev,56,E. Zahariev,7 / 13,0 zł
 07.09.2019,Warszawa,1400 m,IV, k. dż. N. Cyrkler,58,E. Zahariev,7 / 11,0 zł
 01.09.2019,Warszawa,1800 m,IV, pr. dż. A. Kardanov,56,E. Zahariev,7 / 8,0 zł
 11.08.2019,Warszawa,1600 m,IV, k. dż. I. Wójcik,57,E. Zahariev,9 / 12,0 zł
 03.11.2018,Warszawa,1600 m,III, dż. K. Grzybowski,59,E. Zahariev,6 / 7,0 zł
 21.10.2018,Warszawa,1800 m,IV, dż. S. Vasyutov,58,E. Zahariev,7 / 8,0 zł
 30.09.2018,Warszawa,1300 m,IV, dż. S. Vasyutov,61,E. Zahariev,4 / 9,600 zł
 08.09.2018,Warszawa,1600 m,III, dż. A. Reznikov,58½,E. Zahariev,6 / 8,0 zł
 25.08.2018,Warszawa,1600 m,IV, dż. S. Mazur,59,E. Zahariev,1 / 8,6 000 zł
 04.08.2018,Warszawa,1400 m,IV, dż. V. Popov,59,E. Zahariev,2 / 7,2 400 zł
 30.06.2018,Warszawa,1800 m,III, st. u. J. Grzybowska,57,E. Zahariev,3 / 7,1 400 zł
 17.06.2018,Warszawa,1600 m,III, dż. V. Popov,57,E. Zahariev,2 / 7,2 800 zł
 27.05.2018,Warszawa,1600 m,III, pr. dż. D. Pantchev,57,E. Zahariev,2 / 7,2 800 zł
 12.05.2018,Warszawa,1400 m,III, pr. dż. D. Pantchev,56,E. Zahariev,4 / 7,700 zł
 07.10.2017,Warszawa,1400 m,II, dż. V. Popov,56,E. Zahariev,7 / 8,0 zł
 10.09.2017,Warszawa,1200 m,II, dż. V. Popov,56,E. Zahariev,2 / 7,3 600 zł
 13.08.2017,Warszawa,1200 m,, k. dż. I. Wójcik,57,E. Zahariev,2 / 6,7 200 zł
 15.10.2017,Wrocław,2400 m,L A, dż. V. Popov,60,K. Ziemiański,4 / 8,8 000 zł
 26.08.2017,Warszawa,2200 m,L A, dż. S. Mazur,60,K. Ziemiański,6 / 7,0 zł
 06.08.2017,Warszawa,1800 m,B, dż. M. Srnec,58,K. Ziemiański,6 / 12,0 zł
 02.07.2017,Warszawa,2600 m,L A, dż. M. Srnec,58,K. Ziemiański,5 / 7,2 700 zł
 11.06.2017,Warszawa,2400 m,B, dż. M. Srnec,59,K. Ziemiański,6 / 6,0 zł
 14.05.2017,Warszawa,2000 m,B, dż. E. Zahariev,59,K. Ziemiański,6 / 8,0 zł
 02.10.2016,Warszawa,2600 m,G1 A, dż. M. Srnec,55,K. Ziemiański,5 / 6,6 300 zł
 28.08.2016,Warszawa,2200 m,L A, dż. M. Srnec,56,K. Ziemiański,1 / 6,30 000 zł
 31.07.2016,Warszawa,2400 m,L A, dż. M. Srnec,59,K. Ziemiański,1 / 11,69 000 zł
 03.07.2016,Warszawa,2400 m,A, dż. M. Srnec,57,K. Ziemiański,10 / 14,0 zł
 12.06.2016,Warszawa,2200 m,, dż. M. Srnec,56,K. Ziemiański,1 / 11,23 000 zł
 21.05.2016,Warszawa,1600 m,A, dż. V. Popov,59,K. Ziemiański,7 / 11,0 zł
 01.05.2016,Warszawa,1600 m,II, dż. V. Popov,59,K. Ziemiański,2 / 6,3 600 zł
 07.11.2015,Warszawa,1400 m,II, dż. V. Popov,57,K. Ziemiański,1 / 10,9 000 zł
 17.10.2015,Warszawa,1300 m,II, dż. V. Popov,57,K. Ziemiański,4 / 12,900 zł
 13.09.2015,Warszawa,1300 m,II, dż. V. Popov,56,K. Ziemiański,3 / 6,1 800 zł
 22.08.2015,Warszawa,1200 m,II, dż. M. Srnec,56,K. Ziemiański,3 / 6,1 800 zł
 10.09.2017,Warszawa,2400 m,B, dż. A. Reznikov,55,A. Zielińska,6 / 6,0 zł
 26.08.2017,Warszawa,1600 m,II, k. dż. I. Wójcik,55,A. Zielińska,2 / 7,3 600 zł
 30.07.2017,Warszawa,2400 m,L A, pr. dż. I. Wójcik,59,A. Zielińska,8 / 11,0 zł
 02.07.2017,Warszawa,2000 m,I, dż. T. Lukašek,56,A. Zielińska,0 / 11,0 zł
 10.06.2017,Warszawa,2200 m,B, dż. A. Kabardov,56,A. Zielińska,6 / 8,0 zł
 28.05.2017,Warszawa,1600 m,III, dż. A. Kabardov,61,A. Zielińska,1 / 9,7 000 zł
 22.10.2016,Warszawa,1400 m,I, dż. T. Lukašek,57,A. Zielińska,3 / 6,2 120 zł
 18.09.2016,Warszawa,1300 m,II, dż. T. Lukašek,56,A. Zielińska,1 / 10,9 000 zł
 11.06.2017,Wrocław,3800 m,steeple, dż. D. Andres,64,R. Świątek,0 / 8,0 zł
 21.05.2017,Wrocław,3600 m,steeple, dż. D. Andres,61,R. Świątek,2 / 8,3 600 zł
 30.04.2017,Wrocław,3000 m,płoty, dż. D. Andres,64,R. Świątek,1 / 8,7 000 zł
 16.11.2016,Drezno,2200 m,, R. Benš,52½,R. Świątek,7 / 12,0 zł*
 22.10.2016,Drezno,2200 m,, C. Henrique,60,R. Świątek,3 / 10,1 706 zł*
 25.09.2016,Wrocław,1907 m,IV, k. dż. K. Maryniak ,56,R. Świątek,1 / 6,4 000 zł
 04.09.2016,Wrocław,1907 m,IV, k. dż. K. Maryniak ,54,R. Świątek,2 / 9,2 000 zł
 06.08.2016,Warszawa,1800 m,IV, dż. A. Kabardov,54,A. Walicki,4 / 7,600 zł
 29.05.2016,Warszawa,2000 m,III, pr. dż. K. Grzybowski,55½,A. Walicki,3 / 7,1 400 zł
 08.05.2016,Warszawa,2000 m,III, pr. dż. K. Grzybowski,55,A. Walicki,4 / 9,700 zł
 20.09.2015,Warszawa,1200 m,II, dż. A. Turgaev,57,A. Walicki,3 / 7,1 800 zł
 02.08.2015,Warszawa,1200 m,II, dż. A. Turgaev,57,A. Walicki,3 / 7,1 800 zł
 28.06.2015,Warszawa,1200 m,, dż. A. Turgaev,55,A. Walicki,3 / 5,4 000 zł
 22.07.2017,Sopot,1600 m,III, dż. A. Reznikov,58,J. Kozłowski,2 / 7,2 800 zł
 11.06.2017,Warszawa,1400 m,III, dż. D. Petryakov,59,J. Kozłowski,1 / 9,7 000 zł
 06.05.2017,Warszawa,1600 m,III, dż. A. Reznikov,58,J. Kozłowski,4 / 9,700 zł
 20.11.2016,Warszawa,1600 m,III, pr. dż. A. Kardanov,55,J. Kozłowski,5 / 12,350 zł
 30.10.2016,Warszawa,2000 m,IV, pr. dż. A. Kardanov,57,J. Kozłowski,2 / 7,2 400 zł
 04.09.2016,Warszawa,1400 m,IV, dż. A. Reznikov,61,J. Kozłowski,5 / 7,300 zł
 14.08.2016,Warszawa,1600 m,IV, dż. A. Reznikov,56,J. Kozłowski,2 / 9,2 400 zł
 24.07.2016,Warszawa,1300 m,III, dż. A. Reznikov,58,J. Kozłowski,3 / 7,1 400 zł
 03.07.2016,Warszawa,1400 m,II, dż. A. Reznikov,58,J. Kozłowski,2 / 6,3 600 zł
 19.06.2016,Warszawa,2200 m,B, dż. A. Reznikov,54½,J. Kozłowski,2 / 5,8 400 zł
 15.05.2016,Warszawa,1600 m,II, k. dż. M. Abik ,56,J. Kozłowski,4 / 7,900 zł
 25.10.2015,Warszawa,1000 m,I, dż. A. Reznikov,56,J. Kozłowski,2 / 8,4 400 zł
 04.10.2015,Warszawa,1000 m,II, dż. A. Reznikov,56,J. Kozłowski,1 / 6,9 000 zł
 17.11.2018,Warszawa,1300 m,IV, st. u. S. Abaev,57,K. Rogowski,7 / 12,0 zł
 03.11.2018,Warszawa,1200 m,IV, dż. A. Kabardov,59,K. Rogowski,4 / 8,600 zł
 20.10.2018,Warszawa,1400 m,IV, dż. A. Reznikov,59,K. Rogowski,6 / 7,0 zł
 13.10.2018,Warszawa,1000 m,IV, dż. A. Kabardov,59,K. Rogowski,3 / 7,1 200 zł
 07.10.2018,Warszawa,1300 m,IV, dż. A. Kabardov,59,K. Rogowski,7 / 7,0 zł
 09.09.2018,Warszawa,2000 m,IV, dż. A. Kabardov,53,K. Rogowski,6 / 6,0 zł
 25.08.2018,Warszawa,1800 m,IV, st. u. S. Abaev,51½,K. Rogowski,5 / 7,300 zł
 11.08.2018,Warszawa,1400 m,IV, dż. A. Kabardov,54½,K. Rogowski,2 / 7,2 400 zł
 28.07.2018,Warszawa,1600 m,III, dż. D. Petryakov,55,K. Rogowski,7 / 7,0 zł
 14.07.2018,Sopot,1400 m,IV, dż. D. Petryakov,59,K. Rogowski,7 / 8,0 zł
 17.06.2018,Warszawa,1200 m,III, u. P. Bolewska,55,K. Rogowski,5 / 7,350 zł
 27.05.2018,Warszawa,1200 m,III, dż. A. Kabardov,59,K. Rogowski,6 / 7,0 zł
 05.05.2018,Warszawa,1200 m,III, dż. A. Turgaev,59,K. Rogowski,7 / 7,0 zł
 19.11.2017,Warszawa,1300 m,III, dż. M. Abik ,60,K. Rogowski,5 / 8,350 zł
 04.11.2017,Warszawa,1600 m,III, st. u. Y. Hamad,59,K. Rogowski,4 / 7,700 zł
 28.10.2017,Warszawa,1000 m,IV, k. dż. K. Grzybowski,57,K. Rogowski,1 / 8,6 000 zł
 21.10.2017,Warszawa,1200 m,IV, dż. M. Abik ,55,K. Rogowski,3 / 10,1 200 zł
 07.10.2017,Warszawa,1600 m,IV, u. A. Kowalik ,55,K. Rogowski,8 / 9,0 zł
 09.09.2017,Warszawa,1600 m,III, st. u. A. Gil,47,K. Rogowski,7 / 7,0 zł
 03.09.2017,Warszawa,1400 m,IV, st. u. P. Stepakin,52,K. Rogowski,10 / 11,0 zł
 23.07.2017,Sopot,1400 m,III, dż. A. Turgaev,55,K. Rogowski,5 / 7,350 zł
 15.07.2017,Sopot,1300 m,IV, dż. A. Reznikov,58,K. Rogowski,3 / 6,1 200 zł
 09.07.2017,Warszawa,1600 m,IV, st. u. Y. Hamad,58,K. Rogowski,7 / 9,0 zł
 25.06.2017,Warszawa,1600 m,III, dż. A. Reznikov,59,K. Rogowski,8 / 10,0 zł
 11.06.2017,Warszawa,1200 m,III, dż. A. Reznikov,57,K. Rogowski,4 / 10,700 zł
 28.05.2017,Warszawa,1600 m,III, dż. T. Lukašek,59,K. Rogowski,9 / 9,0 zł
 14.05.2017,Warszawa,1800 m,II, st. u. Y. Hamad,53,K. Rogowski,7 / 7,0 zł
 07.05.2017,Warszawa,1200 m,III, dż. S. Mazur,62,K. Rogowski,6 / 7,0 zł
 20.11.2016,Warszawa,1400 m,B, dż. M. Abik ,56,K. Rogowski,5 / 5,1 050 zł
 13.11.2016,Warszawa,1200 m,II, dż. M. Srnec,58,K. Rogowski,2 / 7,3 600 zł
 29.10.2016,Warszawa,1400 m,II, st. u. P. Stepakin,57,K. Rogowski,10 / 10,0 zł
 20.08.2016,Warszawa,1300 m,B, dż. P. Krowicki,56,K. Rogowski,4 / 5,2 100 zł
 07.08.2016,Warszawa,1000 m,II, pr. dż. D. Pantchev,56,K. Rogowski,5 / 7,450 zł
 23.07.2016,Warszawa,1200 m,B, dż. S. Mazur,55,K. Rogowski,3 / 5,4 200 zł
 03.07.2016,Warszawa,1000 m,II, dż. S. Mazur,55,K. Rogowski,4 / 7,900 zł
 24.10.2020,Warszawa,1600 m,IV, dż. M. Srnec,60,K. Ziemiański,7 / 9,0 zł
 27.09.2020,Warszawa,1600 m,II, dż. M. Srnec,60,K. Ziemiański,2 / 6,3 000 zł
 13.09.2020,Warszawa,1200 m,IV, u. O. Szarłat,62,K. Ziemiański,3 / 9,1 300 zł
 16.08.2020,Warszawa,1600 m,IV, dż. M. Srnec,61,K. Ziemiański,2 / 7,2 600 zł
 27.06.2020,Warszawa,1600 m,III, k. dż. B. Giedyk,60,K. Ziemiański,6 / 8,0 zł
 13.06.2020,Warszawa,2000 m,II, u. O. Szarłat,54,K. Ziemiański,7 / 7,0 zł
 10.11.2019,Warszawa,2000 m,I, u. O. Szarłat,53,K. Ziemiański,5 / 14,530 zł
 20.10.2019,Warszawa,2200 m,II, u. O. Szarłat,54,K. Ziemiański,4 / 6,900 zł
